Site ID,Name,2022 Statistics Type,2022 AADT,2022 Single-Unit Truck AADT,2022 Combo-Unit Truck AADT,2022 % DHV SU Trucks,2022 % DHV CU Trucks,2022 % Peak SU Trucks,2022 % Peak CU Trucks,2022 K-Factor,2022 D-Factor,2022 Future AADT
000000672429,067-2429,Actual,23900,582,360,1.89,1.233,0.192,0.125,0.0938,0.68,30100
000000672623,067-2623,Actual,27000,487,501,1.54,1.648,0.159,0.17,0.0946,0.57,34000
0000067_2041,067-2041,Estimated,2720,,,,,,,,,3430
0000067_2058,067-2058,Actual,22100,,,,,,,0.1043,0.5,33900
0000067_2060,067-2060,Estimated,19200,,,,,,,0.0962,0.63,24200
0000067_2090,067-2090,Estimated,180,,,,,,,,,230
0000067_2094,067-2094,Actual,12000,309,33,2.005,0.251,0.2,0.025,0.0999,0.54,15500
0000067_2136,067-2136,Estimated,27200,1208,105,,,0.38,0.017,0.0859,0.5,34300
0000067_2138,067-2138,Estimated,27200,939,196,,,0.191,0.034,0.0993,0.58,34300
0000067_2423,067-2423,Estimated,34800,1173,144,,,0.246,0.029,0.0958,0.66,43800
0000067_2425,067-2425,Estimated,47500,1208,256,,,0.137,0.033,0.0968,0.73,59900
0000067_2432,067-2432,Estimated,18800,880,134,,,0.365,0.05,0.0963,0.65,23700
0000067_2469,067-2469,Estimated,12500,,,,,,,0.0848,0.58,15800
0000067_2472,067-2472,Estimated,18300,,,,,,,0.0875,0.53,24200
0000067_2474,067-2474,Estimated,25500,,,,,,,0.0858,0.53,32100
0000067_2621,067-2621,Estimated,43200,1635,295,,,0.193,0.017,0.0922,0.65,54400
0000067_2743,067-2743,Calculated,233000,,,,,,,,,294000
0000067_2941,067-2941,Actual,5420,,,,,,,0.0942,0.52,6830
0000067_2996,067-2996,Actual,890,,,,,,,0.11,0.6,1120
0000067_8149,067-8149,Estimated,2590,,,,,,,,,3260
0000067_8197,067-8197,Estimated,170,,,,,,,,,210
0000067_8349,067-8349,Estimated,3510,,,,,,,,,4420
0000067_8631,067-8631,Estimated,1880,,,,,,,,,2370
0000067_8639,067-8639,Estimated,100,,,,,,,0.1178,0.67,130
0000067_8673,067-8673,Estimated,530,35,1,,,0.616,0,0.1375,0.66,670
0000067_8795,067-8795,Actual,3410,,,,,,,0.1097,0.5,4300
0000067_R011,067-r011,Estimated,21100,,,,,,,0.1007,1,26600
0000067_R012,067-r012,Estimated,4460,,,,,,,0.1008,1,5620
0000067_R033,067-r033,Actual,580,,,,,,,0.109,1,730
0000067_R034,067-r034,Actual,1400,,,,,,,0.1214,1,1760
0000067_R035,067-r035,Actual,1460,,,,,,,0.1176,1,1840
0000067_R036,067-r036,Actual,430,,,,,,,0.098,1,540
0000067_R037,067-r037,Actual,720,,,,,,,0.1108,1,910
0000067_R038,067-r038,Actual,2690,,,,,,,0.1096,1,4960
0000067_R039,067-r039,Estimated,2010,,,,,,,0.1041,1,2530
0000067_R052,067-r052,Actual,4200,,,,,,,0.087,1,6230
0000067_R064,067-r064,Actual,12100,,,,,,,0.1217,1,15200
0000067_R065,067-r065,Actual,1500,,,,,,,0.0964,1,4500
0000067_R071,067-r071,Actual,4390,,,,,,,0.0841,1,5530
0000067_R074,067-r074,Actual,7210,,,,,,,0.0971,1,9080
0000067_R611,067-r611,Estimated,7200,,,,,,,0.0901,1,9070
0000067_R612,067-r612,Estimated,16300,,,,,,,0.098,1,20500
